0
Atletismo: corredores se empolgam com desempenho inédito em pista profissional
JIFs contribuem para formação integral dos estudantes; egressos também participam
" Animação, entusiasmo e atuação das equipes são diferentes após dois anos sem competições "
Locais de Prova - ENCCEJA 2022
Discentes de Educação Física aprendem na prática durante arbitragem dos 7º JIFMT
Inscrições para bolsista da UAB/IFMT estão abertas até 16 de setembro
